City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Marquette,90,US,1570164727,87,46.54,-87.4,43.0,11.41
Mar del Plata,0,AR,1570164727,55,-46.43,-67.52,43.95,19.64
Vila Franca do Campo,40,PT,1570164727,83,37.72,-25.43,71.6,12.75
Busselton,87,AU,1570164728,54,-33.64,115.35,64.99,29.44
Albany,90,US,1570164567,87,42.65,-73.75,52.0,8.05
Vaini,40,IN,1570164728,78,15.34,74.49,77.0,2.66
New Norfolk,40,AU,1570164729,50,-42.78,147.06,55.4,19.46
Margate,40,AU,1570164729,50,-43.03,147.26,55.4,19.46
Avarua,64,CK,1570164515,69,-21.21,-159.78,77.0,5.82
Port Keats,51,AU,1570164729,55,-14.25,129.55,85.8,14.9
San Quintin,1,PH,1570164529,75,17.54,120.52,83.32,6.2
Jamestown,96,AU,1570164730,13,-33.21,138.6,90.34,20.07
Airai,10,TL,1570164529,42,-8.93,125.41,86.02,1.95
Provideniya,90,RU,1570164730,69,64.42,-173.23,35.6,8.95
Klaksvik,87,FO,1570164730,65,62.23,-6.59,46.4,12.75
Ust-Kulom,100,RU,1570164731,95,61.69,53.69,33.13,5.82
Kapaa,40,US,1570164731,69,22.08,-159.32,84.2,17.22
Hasaki,20,JP,1570164731,65,35.73,140.83,90.0,17.22
Codrington,0,AU,1570164732,19,-28.95,153.24,87.8,5.82
Isangel,91,VU,1570164732,74,-19.55,169.27,71.96,20.94
Iqaluit,20,CA,1570164732,79,63.75,-68.52,32.0,21.92
Ushuaia,40,AR,1570164498,99,-54.81,-68.31,44.6,21.92
Kaitangata,100,NZ,1570164532,38,-46.28,169.85,64.0,11.99
Khatanga,3,RU,1570164733,60,71.98,102.47,28.4,16.28
Cape Town,20,ZA,1570164733,77,-33.93,18.42,60.01,13.87
Palmer,0,AU,1570164533,21,-34.85,139.16,89.6,14.99
Beboto,100,TD,1570164734,90,8.27,16.94,71.74,2.82
Hobart,40,AU,1570164734,50,-42.88,147.33,55.4,19.46
Nelson Bay,0,AU,1570164734,13,-32.72,152.14,93.2,20.8
Georgetown,0,GY,1570164735,94,6.8,-58.16,75.2,4.7
Sept-Iles,75,CA,1570164735,86,50.2,-66.38,35.01,2.24
Venado Tuerto,100,AR,1570164735,99,-33.75,-61.97,50.0,8.01
Mahebourg,34,MU,1570164735,64,-20.41,57.7,73.0,5.01
Leeton,33,AU,1570164736,25,-34.55,146.4,84.2,10.29
Kahului,40,US,1570164736,74,20.89,-156.47,80.6,13.87
Urgut,75,UZ,1570164535,51,39.41,67.25,59.0,7.45
Beli Potok,0,RS,1570164737,87,44.71,20.52,50.0,5.82
Pasni,14,PK,1570164536,52,25.26,63.48,87.82,5.84
Lavrentiya,100,RU,1570164737,96,65.58,-170.99,33.22,6.13
Ternate,40,PH,1570164537,70,14.29,120.72,90.0,5.82
Saskylakh,0,RU,1570164738,77,71.97,114.09,18.79,1.43
Sorland,0,NO,1570164738,80,67.67,12.69,30.2,5.82
Seoul,1,KR,1570164556,61,37.57,126.98,80.6,3.36
Saint-Augustin,90,CA,1570164738,100,45.63,-73.98,45.0,9.17
Maumere,0,ID,1570164739,40,-8.63,122.22,87.2,5.61
Port Lincoln,100,AU,1570164739,82,-34.72,135.86,59.88,15.43
Shizilu,31,CN,1570164739,44,29.63,109.09,82.78,7.94
Yar-Sale,65,RU,1570164739,94,66.83,70.83,34.36,20.07
Avera,1,US,1570164740,74,33.19,-82.53,84.2,3.36
Cayenne,0,GF,1570164740,94,4.94,-52.33,75.2,4.0
